StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PID,Q2B-T_First Click,Q2B-T_Last Click,Q2B-T_Page Submit,Q2B-T_Click Count,Q2C-T_First Click,Q2C-T_Last Click,Q2C-T_Page Submit,Q2C-T_Click Count,Q2D-T_First Click,Q2D-T_Last Click,Q2D-T_Page Submit,Q2D-T_Click Count,Q2E-T_First Click,Q2E-T_Last Click,Q2E-T_Page Submit,Q2E-T_Click Count,FC-B_1,FC-B_2,FC-B_3,FC-C_1,FC-C_2,FC-C_3,FC-C_4,FC-D_1,FC-D_2,FC-D_3,FC-E_1,FC-E_2,FC-E_3,FC-E_4,Q3-FC2,UBI-2_NPS_GROUP,UBI-2,Age,Gender,Urban,PoliSpect,UBI-F,CR-F,CR-A,Random ID,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for participating in our survey!
The study will take approximately 3-4 minutes to complete.
Before you start, please switch off your phone, text / e-mail alerts, and other sources of distraction so you can focus on this study. 
Please enter or confirm your Prolific ID here:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt repulsed by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt repulsed by the pictures and events told in the first part of the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in the first part of the story.,Please describe your feelings about the story you just read. - I felt relieved after reading the conclusion of the story.,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt a sense of pain/sorrow by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt a sense of pain/sorrow by the pictures and events told in the first part of the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in first part of the story.,Please describe your feelings about the story you just read. - I felt relieved after reading the conclusion of the story.,Briefly describe what made you feel this way.,To what degree would you support the concept of Universal Basic Income? - Group,To what degree would you support the concept of Universal Basic Income?,What is your age?,What is your gender or the gender you identify with the most?,Which of the following best describes the area where you live?,"On the following scale, please choose how you rate your political orientation.","Thank you for participating in our survey.
To what degree were you familiar with Universal Basic Income  (UBI) before participating in this survey?",Would you like to send a letter to your congressional representative describing your support for Universal Basic Income ?,Would you like to send a letter to your congressional representative describing your position against Universal Basic Income?,Random ID,PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID110_5""}","{""ImportId"":""QID110_12""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID111_2""}","{""ImportId"":""QID111_7""}","{""ImportId"":""QID111_4""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID113_5""}","{""ImportId"":""QID113_2""}","{""ImportId"":""QID114_1""}","{""ImportId"":""QID114_9""}","{""ImportId"":""QID114_2""}","{""ImportId"":""QID114_3""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID70_NPS_GROUP""}","{""ImportId"":""QID70""}","{""ImportId"":""QID172807739""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID117""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""Random ID""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2019-11-19 23:12:35,2019-11-19 23:14:32,IP Address,65.249.163.175,100,117,True,2019-11-19 23:14:36,R_1SQK2cwW2orAvwl,,,,,40.781005859375,-73.950103759765625,anonymous,EN,5d21a5e877af8600010583c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passive,8,35 - 44,Male,Suburban,Conservative,Very familiar,Probably yes,,527639666,5d21a5e877af8600010583c9,5dd4a350108b6748b25b5de1,5dd4d94c523df04a5dbcbca8
2019-11-19 23:13:38,2019-11-19 23:16:19,IP Address,113.20.192.251,100,161,True,2019-11-19 23:16:20,R_pS0o3d0onoZobTj,,,,,35.1396942138671875,136.08538818359375,anonymous,EN,5bcd9a528391630001494521,22.622,22.622,23.762,1,38.485,38.485,39.654,1,,,,,,,,,,,,A great deal,A little,A little,A great deal,,,,,,,,It was initially a sad story with a happy ending.,Detractor,4,35 - 44,Male,Urban,Lean Conservative,Very familiar,,,611082722,5bcd9a528391630001494521,5dd4a350108b6748b25b5de1,5dd4d990194e48497c10d191
2019-11-19 23:13:48,2019-11-19 23:16:22,IP Address,72.90.165.26,100,153,True,2019-11-19 23:16:22,R_22PHm4jdEgg1pb7,,,,,40.792999267578125,-74.02469635009765625,anonymous,EN,5cdb3e9caa4e2a00019a16bc,0,0,30.751,0,,,,,,,,,,,,,A moderate amount,A little,A lot,,,,,,,,,,,,Seeing the forgotten people in our society,Promoter,9,45 - 54,Male,Urban,Lean Conservative,Extremely familiar,Probably yes,,122264460,5cdb3e9caa4e2a00019a16bc,5dd4a350108b6748b25b5de1,5dd4d98ca4aa264af6e70d90
2019-11-19 23:17:20,2019-11-19 23:18:07,IP Address,75.189.219.228,100,46,True,2019-11-19 23:18:07,R_yWNpcC5izu7PBVD,,,,,35.6352996826171875,-78.4503021240234375,anonymous,EN,59af1b568d02850001a6bbac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detractor,5,35 - 44,Male,Suburban,Conservative,Moderately familiar,,,928945318,59af1b568d02850001a6bbac,5dd4a350108b6748b25b5de1,5dd4da6a19eecb4abefff826
2019-11-19 23:16:05,2019-11-19 23:18:16,IP Address,71.9.252.188,100,131,True,2019-11-19 23:18:17,R_1kFXN3LV5hFuuyl,,,,,38.534698486328125,-118.6410980224609375,anonymous,EN,5d4d038ec270cd001931da3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detractor,0,25 - 34,Male,Rural,Very Conservative,Very familiar,,Definitely yes,634690496,5d4d038ec270cd001931da3e,5dd4a350108b6748b25b5de1,5dd4da1fca74664af2518383
2019-11-19 23:16:31,2019-11-19 23:18:32,IP Address,107.77.219.116,100,121,True,2019-11-19 23:18:32,R_BLnyKTwO7XTGQ8x,,,,,29.811798095703125,-95.50879669189453125,anonymous,EN,57dd1a741334540001170404,,,,,,,,,0,0,50.111,0,,,,,,,,,,,,A great deal,A great deal,A great deal,,,,,I was that kid.  She needs someone to pull her aside and point out that the pea coat is a GREAT IQ test--anyone who doesn't like the same person you were yesterday just because of that coat is a shallow waste of carbon.,Detractor,6,35 - 44,Male,Rural,Lean Conservative,Very familiar,,,827140713,57dd1a741334540001170404,5dd4a350108b6748b25b5de1,5dd4da3a41afe84a26811718
2019-11-19 23:15:09,2019-11-19 23:18:35,IP Address,69.246.29.201,100,206,True,2019-11-19 23:18:35,R_sImDhFkBO149jGh,,,,,34.251495361328125,-88.72080230712890625,anonymous,EN,56ce6383465e58000d84710d,0,0,25.345,0,0,0,50.281,0,,,,,,,,,,,,A little,None at all,A moderate amount,A great deal,,,,,,,,"At first hearing about the homeless people and them suffering made me angry there are people who have to go through that but reading about the man helping them made me happy and feel inspired. ",Detractor,5,25 - 34,Male,Suburban,Lean Conservative,Very familiar,,,806947972,56ce6383465e58000d84710d,5dd4a350108b6748b25b5de1,5dd4d9ebe0b21b4ae9468a0b
2019-11-19 23:15:39,2019-11-19 23:19:17,IP Address,216.223.207.126,100,218,True,2019-11-19 23:19:18,R_3KpfytrbvXusjth,,,,,34.0554962158203125,-78.91840362548828125,anonymous,EN,5c5f95cf4fff5700017ecc6b,,,,,,,,,0,0,80.438,0,,,,,,,,,,,,A moderate amount,A great deal,A great deal,,,,,I felt this way because of the pain that was conveyed in the fact that the person telling the story put off wearing a coat to be warmer just because they did not want to be made fun of.,Detractor,0,18 - 24,Female,Suburban,Conservative,Very familiar,,Definitely yes,203123437,5c5f95cf4fff5700017ecc6b,5dd4a350108b6748b25b5de1,5dd4d9ed523df04a5dbcbca9
2019-11-19 23:14:16,2019-11-19 23:19:23,IP Address,108.185.66.225,100,307,True,2019-11-19 23:19:24,R_ByKcASGI0hxm4RX,,,,,33.92120361328125,-118.14239501953125,anonymous,EN,5d094021c79e5a001a796b43,,,,,,,,,2.782,4.1,99.37,2,3.142,3.142,48.283,1,,,,,,,,,,,A great deal,A great deal,A great deal,A great deal,I feel good that the story has a happy ending and everybody is made to feel special and wanted. It is a good thing.,Detractor,0,25 - 34,Male,Suburban,Moderate,Moderately familiar,,Definitely not,164136301,5d094021c79e5a001a796b43,5dd4a350108b6748b25b5de1,5dd4d9b6367c6d4a3f3f9d7e
2019-11-19 23:18:56,2019-11-19 23:21:14,IP Address,75.129.151.114,100,137,True,2019-11-19 23:21:14,R_SUcBWZCJw2s3LQB,,,,,43.460906982421875,-88.85019683837890625,anonymous,EN,5d84398b58ceda0019482646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detractor,2,35 - 44,Male,Rural,Very Conservative,Very familiar,,Probably not,279492311,5d84398b58ceda0019482646,5dd4a350108b6748b25b5de1,5dd4dacd2091e94ae11421c6
2019-11-19 23:14:40,2019-11-19 23:22:20,IP Address,73.102.211.104,100,460,True,2019-11-19 23:22:20,R_3MPEO9ujGDyiXVb,,,,,39.83349609375,-84.8983001708984375,anonymous,EN,55b9a9b0fdf99b6906d2aba4,,,,,,,,,8.37,194.942,197.516,6,,,,,,,,,,,,A great deal,A great deal,A great deal,,,,,The feelings of rejection and humiliation.,Detractor,3,55 - 64,Male,Suburban,Lean Conservative,Very familiar,,Probably not,557414120,55b9a9b0fdf99b6906d2aba4,5dd4a350108b6748b25b5de1,5dd4d9c811b0bd4ab99e9f62
2019-11-19 23:18:42,2019-11-19 23:23:22,IP Address,108.82.146.59,100,279,True,2019-11-19 23:23:22,R_2uOjILZbaCjCvs1,,,,,38.0471038818359375,-85.38289642333984375,anonymous,EN,5c36e0c5e38bc40001f82a4d,7.39,61.916,64.458,12,,,,,,,,,,,,,A little,A little,A moderate amount,,,,,,,,,,,,The person in the story is afraid to look at homeless people. They're people and deserve to be acknowledged with at least eye contact.,Detractor,0,35 - 44,Male,Rural,Conservative,Moderately familiar,,Might or might not,557449455,5c36e0c5e38bc40001f82a4d,5dd4a350108b6748b25b5de1,5dd4dab5794e104a949a5f0f
2019-11-19 23:21:38,2019-11-19 23:23:45,IP Address,107.5.199.80,100,126,True,2019-11-19 23:23:45,R_3J9JjuwdqvBOiRb,,,,,42.913299560546875,-85.8144989013671875,anonymous,EN,5aedec6e76b763000132f75e,0,0,17.914,0,0,0,33.98,0,,,,,,,,,,,,A lot,None at all,None at all,A lot,,,,,,,,the barber is a good person,Detractor,6,35 - 44,Male,Suburban,Conservative,Moderately familiar,,,683650241,5aedec6e76b763000132f75e,5dd4a350108b6748b25b5de1,5dd4db6b7982974a7980a15b
2019-11-19 23:20:48,2019-11-19 23:24:13,IP Address,107.15.144.116,100,205,True,2019-11-19 23:24:13,R_DelcG9lrqfPpuyB,,,,,35.8845977783203125,-78.63849639892578125,anonymous,EN,5befb6e27c387400016983bf,,,,,,,,,1.733,57.747,70.215,16,1.448,37.29,38.303,9,,,,,,,,,,,A great deal,A lot,A little,A little,"I know what its like to have social problems in school and could feel her pain.  I don't think the solution was very good though, it will just cause more money to be wasted. ",Passive,8,25 - 34,Male,Suburban,Conservative,Extremely familiar,Probably not,,410783919,5befb6e27c387400016983bf,5dd4a350108b6748b25b5de1,5dd4db08c925a84a514be842
2019-11-19 23:21:45,2019-11-19 23:24:15,IP Address,71.197.83.248,100,150,True,2019-11-19 23:24:16,R_25zw71GDPMCgVYH,,,,,37.9998016357421875,-120.32669830322265625,anonymous,EN,5c800507a1d4b900114f28c4,,,,,,,,,14.775,18.398,53.197,3,,,,,,,,,,,,A lot,A little,A little,,,,,The kids ridiculed the girl for wearing the only warm piece of clothing she had in the Winter months,Detractor,1,25 - 34,Male,Rural,Lean Conservative,Not familiar at all,,Might or might not,600296495,5c800507a1d4b900114f28c4,5dd4a350108b6748b25b5de1,5dd4db77f01cbe49c312c31c
2019-11-19 23:15:29,2019-11-19 23:24:15,IP Address,68.7.221.24,100,526,True,2019-11-19 23:24:16,R_2c58iEUTciHFgBQ,,,,,32.791595458984375,-116.97100067138671875,anonymous,EN,5c5ac2869d974300015d81fc,0,0,111.111,0,,,,,,,,,,,,,A moderate amount,A little,A little,,,,,,,,,,,,I could see myself walking by all of that filth and stuff but I wouldnt be too upset a lot of people have there own situations to deal with,Detractor,2,25 - 34,Male,Suburban,Very Conservative,Extremely familiar,,Definitely not,701121038,5c5ac2869d974300015d81fc,5dd4a350108b6748b25b5de1,5dd4da00a9ead04a85afcd0d
2019-11-19 23:19:34,2019-11-19 23:24:20,IP Address,172.58.27.76,100,286,True,2019-11-19 23:24:20,R_1QflhVMGXwAc4Lg,,,,,34.10699462890625,-117.5941009521484375,anonymous,EN,5d4686c336bf400015d3fd14,,,,,,,,,12.508,87.827,89.724,14,,,,,,,,,,,,A lot,A great deal,A moderate amount,,,,,"I grew up poor with gross clothes that people would question. I don't feel much Injustice because I believe this is just how the world is. ",Detractor,0,25 - 34,Female,Suburban,Lean Conservative,Slightly familiar,,Probably not,796387690,5d4686c336bf400015d3fd14,5dd4a350108b6748b25b5de1,5dd4daec1042004ad173909c
